row_type,Column1,team_name,country,country_iso,bf_team1,bf_fuzzy1,bf_team2,bf_fuzzy2,bf_team3,bf_fuzzy3,bf_team4,bf_fuzzy4,bf_team5,bf_fuzzy5,bf_team6,bf_fuzzy6,bf_team7,bf_fuzzy7,bf_team8,bf_fuzzy8,bf_team9,bf_fuzzy9,bf_team10,bf_fuzzy10,bf_team11,bf_fuzzy11,bf_team12,bf_fuzzy12,bf_team13,bf_fuzzy13,manual_insertion1stround,manual_insertion2ndround
bf_teamnames,8,Stuttgart,Germany,DE,Stuttgart,100,Stuttgart II,95,Stuttgart Kickers,90,SV Stuttgarter Kickers,90,VFB Stuttgart II,90,Stuttgarter Kickers,90,TUS Hartenholm,50,BSG Wismut Gera,50,Hamburg Eimsbutteler BC,50,Hungary,50,TSV Aubstadt,48,Germania Erftstadt,48,Eimsbutteler,48,,
names_match,8,Stuttgart,Germany,DE,1,100,0,95,0,90,0,90,0,90,0,90,0,50,0,50,0,50,0,50,0,48,0,48,0,48,,
bf_teamnames,6,Union Berlin,Germany,DE,Union Berlin,100,Union Berlin II,95,Union Furstenwalde,86,PSV Union Neumuenster,86,CFC Hertha 06 Berlin,86,Tennis Borussia Berlin,86,SV Tasmania Berlin,86,Turkiyemspor Berlin,86,SG Union Sandersdorf,86,FSV Union Furstenwalde,86,Neckarsulmer Sport Union,86,Anadoluspor Berlin,86,Hertha BSC Berlin II,86,,
names_match,6,Union Berlin,Germany,DE,1,100,0,95,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,,
bf_teamnames,6,Wehen Wiesbaden,Germany,DE,Wehen Wiesbaden,100,Weiden,60,Hertha Wiesbach,60,USA,60,SW Rehden,57,FC Hertha Wiesbach,55,Aalen,54,Werder Bremen,54,FC Giessen,54,Wedel,54,SW Essen,53,W Bremen,53,West Ham,53,,
names_match,6,Wehen Wiesbaden,Germany,DE,1,100,0,60,0,60,0,60,0,57,0,55,0,54,0,54,0,54,0,54,0,53,0,53,0,53,,
bf_teamnames,2,Werder Bremen,Germany,DE,Werder Bremen,100,Werder Bremen II,95,Werder Bremen III,95,W Bremen,86,Wedel,72,W Bremen II,67,Wedeler,64,Wegberg Beeck,62,Weiden,60,Vatan Spor Bremen,60,VfL 07 Bremen,60,SW Rehden,55,Paderborn,55,,
names_match,2,Werder Bremen,Germany,DE,1,100,0,95,0,95,1,86,0,72,0,67,0,64,0,62,0,60,0,60,0,60,0,55,0,55,,
bf_teamnames,7,Wolfsburg,Germany,DE,Wolfsburg,100,Wolfsburg II,95,ULM Wolfsburg,95,Vfl Wolfsburg II,90,Lupo Martini Wolfsburg,90,Wolfsberger AC,80,Oldenburg,67,Homburg,62,Weiche Flensburg,60,VfL Oldenburg 1894,60,MTV Wolfenbuttel,60,Weiche Flensburg II,60,FC Turkiye Wilhelmsburg,60,,
names_match,7,Wolfsburg,Germany,DE,1,100,0,95,0,95,0,90,0,90,0,80,0,67,0,62,0,60,0,60,0,60,0,60,0,60,,
bf_teamnames,16,Würzburger Kickers,Germany,DE,Wurzburger Kickers,97,Wurzburger Kickers II,89,FC Wurzburger Kickers,89,FC Wurzburger Kickers II,83,Nice,68,Wurzburger FV,67,Stuttgarter Kickers,67,Stuttgart Kickers,65,SV Stuttgarter Kickers,62,Offenbacher Kickers,61,Freiburg II,58,BSC Kickers 1900,58,Test W,57,,
names_match,16,Würzburger Kickers,Germany,DE,1,97,0,89,1,89,0,83,0,68,0,67,0,67,0,65,0,62,0,61,0,58,0,58,0,57,,
bf_teamnames,2,AD Alcorcón,Spain,ES,AD Union Adarve,86,AD San Jose Obrero,86,AD Caravaca Vera Cruz,86,AD Universidad de Oviedo,86,AD Colmenar Viejo,86,AD San Juan de Mozarrifar,86,AD San Juan Zaragoza,86,AD Alcorcon II,83,Alcorcon,78,Trival Valderas Alcorcon,72,Badalona,67,Alcorcon II,67,AD Lobon,67,,
names_match,2,AD Alcorcón,Spain,ES,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,83,1,78,0,72,0,67,0,67,0,67,,
bf_teamnames,13,Albacete Balompié,Spain,ES,Albacete,90,Albacete Balompie II,89,Atlético Albacete,71,Real Betis Balompie II,68,El Palo,64,Fundacion Albacete Ladi,64,SD Barreda Balompie,63,Alaves,60,Ecija Balompie,60,West Brom,60,BATE Borisov,57,Getafe B,56,Eibar,54,,
names_match,13,Albacete Balompié,Spain,ES,1,90,0,89,0,71,0,68,0,64,0,64,0,63,0,60,0,60,0,60,0,57,0,56,0,54,,
